WATER_BODY,PSN,TARGET_LATITUDE,TARGET_LONGITUDE
LAKE ERIE,489,42.1672,-80.2994
LAKE ERIE,491,41.8533,-82.5233
LAKE ERIE,492,41.8408,-82.5411
LAKE ERIE,493,41.83,-82.5839
LAKE ERIE,494,41.7117,-82.6982
LAKE ERIE,495,41.6431,-82.713
LAKE ERIE,496,41.5689,-82.7181
LAKE ERIE,56,41.9831,-82.7506
LAKE ERIE,574,41.7203,-83.0364
LAKE ERIE,582,41.76,-82.7367
LAKE ERIE,585,41.7564,-83.2169
LAKE ERIE,67,42.845,-79.575
LAKE ERIE,672,41.8483,-81.1247
LAKE ERIE,680,42.5103,-81.0083
LAKE ERIE,727,42.817,-79.383
LAKE ERIE,733,41.8722,-83.2703
LAKE ERIE,741A,41.6581,-83.5175
LAKE ERIE,873,41.9181,-82.6186
LAKE ERIE,874,41.9314,-82.5692
LAKE ERIE,879,42.507,-79.9
LAKE ERIE,880,41.936,-81.654
LAKE ERIE,881,41.969,-83.208
LAKE ERIE,882,41.766,-83.31
LAKE ERIE,885,41.519,-82.641
LAKE ERIE,886,42.538,-79.617
LAKE ERIE,887,42.647,-79.692
LAKE ERIE,888,42.281,-81.671
LAKE ERIE,889,42.11,-81.575
LAKE ERIE,896,42.4294,-81.205
LAKE ERIE,897,42.2525,-81.1061
LAKE ERIE,898,42.0811,-81.0117
LAKE ERIE,899,41.9342,-81.4789
LAKE ERIE,915,42.1092,-81.5753
LAKE ERIE,916,42.2786,-81.6703
LAKE ERIE,918,41.9647,-82.0414
LAKE ERIE,919,41.7889,-81.9447
LAKE ERIE,920,41.9775,-81.7575
LAKE ERIE,931,42.849,-78.941
LAKE ERIE,932,42.791,-79.208
LAKE ERIE,933,42.825,-79.567
LAKE ERIE,934,42.708,-79.508
LAKE ERIE,935,42.591,-79.466
LAKE ERIE,936,42.475,-79.409
LAKE ERIE,937,42.717,-80.25
LAKE ERIE,938,42.634,-80.059
LAKE ERIE,939,42.567,-79.917
LAKE ERIE,940,42.442,-79.833
LAKE ERIE,941,42.325,-79.833
LAKE ERIE,942,42.259,-79.833
LAKE ERIE,943,42.575,-80.642
LAKE ERIE,944,42.533,-80.642
LAKE ERIE,945,42.4,-80.642
LAKE ERIE,946,42.167,-80.642
LAKE ERIE,947,41.992,-80.642
LAKE ERIE,948,41.957,-80.642
LAKE ERIE,949,42.25,-81.108
LAKE ERIE,950,42.588,-81.442
LAKE ERIE,951,42.475,-81.442
LAKE ERIE,952,42.358,-81.442
LAKE ERIE,953,42.208,-81.442
LAKE ERIE,954,42.025,-81.442
LAKE ERIE,955,41.8,-81.442
LAKE ERIE,956,41.692,-81.442
LAKE ERIE,957,41.683,-81.742
LAKE ERIE,958,41.525,-81.708
LAKE ERIE,959,42.195,-82.183
LAKE ERIE,960,42.1,-82.183
LAKE ERIE,961,41.908,-82.183
LAKE ERIE,962,41.717,-82.183
LAKE ERIE,963,41.575,-82.183
LAKE ERIE,964,41.483,-82.183
LAKE ERIE,965,41.5,-82.5
LAKE ERIE,966,41.983,-82.625
LAKE ERIE,967,41.892,-82.667
LAKE ERIE,968,41.742,-82.733
LAKE ERIE,969,41.608,-82.925
LAKE ERIE,970,41.825,-82.975
LAKE ERIE,971,41.95,-83.05
LAKE ERIE,971A,41.9997,-83.0575
LAKE ERIE,972,41.867,-83.2
LAKE ERIE,973,41.792,-83.333
LAKE ERIE,974,41.725,-83.15
LAKE ERIE,980,42.1167,-81.25
LAKE HURON,1,43.09,-82.392
LAKE HURON,10,43.753,-81.782
LAKE HURON,100,43.825,-83.817
LAKE HURON,101,43.821,-83.625
LAKE HURON,104,46.017,-81.967
LAKE HURON,11,43.957,-81.787
LAKE HURON,1167,43.0431,-82.4117
LAKE HURON,12,43.89,-82.057
LAKE HURON,125,45.2494,-82.8333
LAKE HURON,13,43.753,-82.568
LAKE HURON,138,44.724,-81.821
LAKE HURON,139,45.408,-82.524
LAKE HURON,14,43.942,-82.667
LAKE HURON,140,44.741,-81.504
LAKE HURON,141,45.5,-82.121
LAKE HURON,144,44.167,-81.683
LAKE HURON,146,44.2442,-82.2494
LAKE HURON,155,43.1142,-82.4147
LAKE HURON,156,43.2653,-82.4361
LAKE HURON,157,43.4186,-82.4575
LAKE HURON,158,43.5617,-82.4725
LAKE HURON,159,43.7011,-82.4981
LAKE HURON,160,43.8047,-82.5367
LAKE HURON,161,43.9381,-82.5844
LAKE HURON,162,44.0789,-82.6353
LAKE HURON,163,44.215,-82.7006
LAKE HURON,164,44.3517,-82.7631
LAKE HURON,165,44.4883,-82.8253
LAKE HURON,166,44.6286,-82.8947
LAKE HURON,167,44.7731,-82.9653
LAKE HURON,168,44.9175,-83.0333
LAKE HURON,169,45.0647,-83.1025
LAKE HURON,17,44.1,-82.867
LAKE HURON,170,45.2092,-83.1708
LAKE HURON,171,45.3336,-83.2878
LAKE HURON,172,45.46,-83.3872
LAKE HURON,173,45.5694,-83.5178
LAKE HURON,174,45.6892,-83.6433
LAKE HURON,175,45.8117,-83.7597
LAKE HURON,176,45.9308,-83.8817
LAKE HURON,181,45.3303,-82.4992
LAKE HURON,182,45.6672,-83.5678
LAKE HURON,185,45.8067,-84.1042
LAKE HURON,20,44.217,-83.083
LAKE HURON,23,44.333,-83.3
LAKE HURON,27,44.198,-82.503
LAKE HURON,29,44.367,-81.833
LAKE HURON,3,43.257,-82.038
LAKE HURON,30,44.467,-81.453
LAKE HURON,32,44.453,-82.342
LAKE HURON,33,44.5,-82.833
LAKE HURON,34,44.64,-83.232
LAKE HURON,36,45.04,-83.378
LAKE HURON,38,44.74,-82.057
LAKE HURON,39,44.657,-81.378
LAKE HURON,4,43.325,-81.788
LAKE HURON,40,44.898,-81.437
LAKE HURON,41,45.083,-81.537
LAKE HURON,42,45.222,-81.82
LAKE HURON,43,45.013,-82.008
LAKE HURON,44,45.017,-82.685
LAKE HURON,47,45.255,-83.347
LAKE HURON,48,45.278,-82.452
LAKE HURON,5,43.548,-81.745
LAKE HURON,50,45.535,-82.045
LAKE HURON,52,45.652,-82.648
LAKE HURON,54,45.517,-83.417
LAKE HURON,544,46.15,-82.539
LAKE HURON,545,46.158,-82.5
LAKE HURON,546,46.158,-82.45
LAKE HURON,547,46.142,-82.333
LAKE HURON,548,46.017,-82.433
LAKE HURON,55,45.425,-83.652
LAKE HURON,56,45.517,-84.083
LAKE HURON,58,45.867,-83.267
LAKE HURON,59,45.767,-83.028
LAKE HURON,592,45.883,-82.15
LAKE HURON,593,45.605,-81.888
LAKE HURON,594,43.7986,-82.1172
LAKE HURON,595,43.9844,-82.1353
LAKE HURON,596,44.6914,-81.9125
LAKE HURON,60,45.902,-83.518
LAKE HURON,61,45.75,-83.917
LAKE HURON,62,45.675,-84.187
LAKE HURON,63,45.703,-84.512
LAKE HURON,64,45.813,-84.755
LAKE HURON,65,45.845,-84.567
LAKE HURON,66,45.863,-84.295
LAKE HURON,67,45.935,-83.9
LAKE HURON,68,46.042,-83.853
LAKE HURON,69,46.078,-84.028
LAKE HURON,69B,46.0883,-84.035
LAKE HURON,7,43.342,-82.507
LAKE HURON,70,46.137,-83.672
LAKE HURON,71,46.233,-83.747
LAKE HURON,73,46.187,-83.355
LAKE HURON,76,46,-83.433
LAKE HURON,77,45.97,-83.198
LAKE HURON,79,46.123,-82.886
LAKE HURON,8,43.567,-82.485
LAKE HURON,807,43.84,-81.753
LAKE HURON,808,43.856,-81.861
LAKE HURON,809,43.871,-81.953
LAKE HURON,810,44.654,-81.333
LAKE HURON,811,44.666,-81.475
LAKE HURON,812,44.673,-81.59
LAKE HURON,813,44.34,-81.683
LAKE HURON,814,44.64,-83.203
LAKE HURON,82,45.937,-82.758
LAKE HURON,83,46,-82.55
LAKE HURON,84,46.092,-82.557
LAKE HURON,87,46.061,-82.197
LAKE HURON,88,46.056,-82
LAKE HURON,89,45.917,-82.161
LAKE HURON,9,43.633,-82.217
LAKE HURON,94,44.069,-83.081
LAKE HURON,95,44.213,-83.371
LAKE HURON,96,44.126,-83.171
LAKE HURON,97,44.115,-83.529
LAKE HURON,98,43.976,-83.576
LAKE HURON,99,43.908,-83.742
LAKE ONTARIO,1,43.313,-79.752
LAKE ONTARIO,10,43.668,-79.267
LAKE ONTARIO,100,44.137,-76.33
LAKE ONTARIO,1001,43.287,-79.843
LAKE ONTARIO,101,44.193,-76.31
LAKE ONTARIO,102,44.203,-76.237
LAKE ONTARIO,103,44.203,-76.543
LAKE ONTARIO,1096,43.8036,-77.0281
LAKE ONTARIO,11,43.585,-79.312
LAKE ONTARIO,1185,44.2681,-76.1825
LAKE ONTARIO,1193,44.0594,-77.0867
LAKE ONTARIO,1194,44.1072,-77.03
LAKE ONTARIO,1195,44.0967,-77.0731
LAKE ONTARIO,1196,44.1758,-77.0464
LAKE ONTARIO,12,43.503,-79.353
LAKE ONTARIO,1267,43.2614,-79.7533
LAKE ONTARIO,1293,43.5533,-79.5483
LAKE ONTARIO,1297,43.5414,-79.5711
LAKE ONTARIO,13,43.417,-79.4
LAKE ONTARIO,1317,43.2167,-79.4469
LAKE ONTARIO,1318,43.2306,-79.4467
LAKE ONTARIO,1319,43.2625,-79.4464
LAKE ONTARIO,1320,43.5744,-79.5064
LAKE ONTARIO,1321,43.5642,-79.4956
LAKE ONTARIO,1322,43.5369,-79.4719
LAKE ONTARIO,1323,43.6078,-79.4378
LAKE ONTARIO,1324,43.5817,-79.4114
LAKE ONTARIO,1325,43.6536,-79.2681
LAKE ONTARIO,1326,43.6431,-79.2544
LAKE ONTARIO,1327,43.6142,-79.2347
LAKE ONTARIO,1328,43.7689,-79.1086
LAKE ONTARIO,1329,43.7611,-79.0956
LAKE ONTARIO,1330,43.7411,-79.0594
LAKE ONTARIO,1331,43.9047,-78.3044
LAKE ONTARIO,1332,43.8742,-78.2986
LAKE ONTARIO,1378,43.465,-79.6117
LAKE ONTARIO,1379,43.255,-79.525
LAKE ONTARIO,14,43.393,-79.487
LAKE ONTARIO,1490,43.2739,-79.2517
LAKE ONTARIO,15,43.317,-79.443
LAKE ONTARIO,16,43.272,-79.36
LAKE ONTARIO,17,43.225,-79.272
LAKE ONTARIO,18,43.303,-79.278
LAKE ONTARIO,19,43.383,-79.285
LAKE ONTARIO,2,43.34,-79.665
LAKE ONTARIO,20,43.338,-79.197
LAKE ONTARIO,206,43.4011,-79.4475
LAKE ONTARIO,207,43.3222,-79.1558
LAKE ONTARIO,208,43.3339,-79.0697
LAKE ONTARIO,209,43.3372,-78.9933
LAKE ONTARIO,21,43.3,-79.12
LAKE ONTARIO,210,43.3597,-78.8722
LAKE ONTARIO,211,43.4944,-78.9053
LAKE ONTARIO,22,43.297,-79.005
LAKE ONTARIO,23,43.37,-79.067
LAKE ONTARIO,24,43.44,-79.128
LAKE ONTARIO,25,43.517,-79.08
LAKE ONTARIO,26,43.608,-79.017
LAKE ONTARIO,27,43.703,-78.957
LAKE ONTARIO,28,43.775,-78.855
LAKE ONTARIO,29,43.83,-78.87
LAKE ONTARIO,3,43.268,-79.62
LAKE ONTARIO,30,43.83,-78.662
LAKE ONTARIO,31,43.887,-78.46
LAKE ONTARIO,32,43.783,-78.438
LAKE ONTARIO,33,43.597,-78.802
LAKE ONTARIO,34,43.462,-78.76
LAKE ONTARIO,35,43.36,-78.73
LAKE ONTARIO,36,43.492,-78.387
LAKE ONTARIO,37,43.392,-78.37
LAKE ONTARIO,38,43.383,-77.99
LAKE ONTARIO,39,43.487,-78
LAKE ONTARIO,40,43.59,-78.012
LAKE ONTARIO,403,43.5986,-78.2314
LAKE ONTARIO,41,43.717,-78.027
LAKE ONTARIO,42,43.84,-78.038
LAKE ONTARIO,43,43.95,-78.05
LAKE ONTARIO,44,43.882,-77.908
LAKE ONTARIO,45,43.82,-77.783
LAKE ONTARIO,46,43.885,-77.69
LAKE ONTARIO,47,43.952,-77.588
LAKE ONTARIO,48,43.862,-77.525
LAKE ONTARIO,49,43.772,-77.438
LAKE ONTARIO,498,44.1519,-77.3369
LAKE ONTARIO,5,43.425,-79.658
LAKE ONTARIO,52,43.433,-77.712
