WATER_BODY,PSN,TARGET_LATITUDE,TARGET_LONGITUDE
LAKE SUPERIOR,69,46.862,-88.413
LAKE SUPERIOR,7,46.825,-84.768
LAKE SUPERIOR,76,47.402,-87.412
LAKE SUPERIOR,77,46.8733,-89.7722
LAKE SUPERIOR,8,46.893,-84.668
LAKE SUPERIOR,80,47.583,-86.952
LAKE SUPERIOR,82,47.858,-86.633
LAKE SUPERIOR,84,48.113,-86.3
LAKE SUPERIOR,87,48.233,-86.15
LAKE SUPERIOR,88,48.568,-86.347
LAKE SUPERIOR,89,48.7,-86.418
LAKE SUPERIOR,9,47.044,-84.813
LAKE SUPERIOR,92,48.583,-86.565
LAKE SUPERIOR,95,48.218,-87.017
LAKE SUPERIOR,97,48.438,-87.253
