CRUISE_PLAN,LAST_DATE_UPDATED,SHIP_NAME,WATER_BODY,CSN,LATITUDE,LONGITUDE,PSN,SOUNDING,STN_DATE,CODE,DEPTH_FROM,DEPTH_TO,DETECTION,FLAG,SEQ_NO,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,1,430524,-822330,1,10.34,2018-09-10 23:38:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.09000,-82.39167
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,1,430524,-822330,1,10.34,2018-09-10 23:38:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.09000,-82.39167
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,1,430524,-822330,1,10.34,2018-09-10 23:38:00,6,8.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.09000,-82.39167
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,2,431524,-820219,3,14.91,2018-09-11 02:08:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.25667,-82.03861
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,3,431928,-814722,4,9.81,2018-09-11 03:45:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.32444,-81.78944
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,4,433252,-814440,5,11.12,2018-09-11 05:38:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.54778,-81.74444
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,5,434508,-814655,10,12.08,2018-09-11 07:16:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.75222,-81.78194
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,5,434508,-814655,10,12.08,2018-09-11 07:16:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.75222,-81.78194
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,6,435325,-820319,12,87.02,2018-09-11 09:19:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.89028,-82.05528
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,7,435722,-814711,11,9.94,2018-09-11 11:20:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,43.95611,-81.78639
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,8,442203,-815002,29,124.4,2018-09-11 14:35:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36750,-81.83389
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,8,442203,-815002,29,124.4,2018-09-11 14:35:00,6,10.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36750,-81.83389
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,8,442203,-815002,29,124.4,2018-09-11 14:35:00,6,14.00,.00,,,0,2.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36750,-81.83389
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,8,442203,-815002,29,124.4,2018-09-11 14:35:00,6,20.00,.00,,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36750,-81.83389
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,8,442203,-815002,29,124.4,2018-09-11 14:35:00,6,114.00,.00,,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36750,-81.83389
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,8,442203,-815002,29,124.4,2018-09-11 14:35:00,6,122.00,.00,,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.36750,-81.83389
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,9,442757,-812713,30,19.91,2018-09-11 16:57:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.46583,-81.45361
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,10,443920,-812240,39,25.46,2018-09-11 18:30:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.65556,-81.37778
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,10,443920,-812240,39,25.46,2018-09-11 18:30:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.65556,-81.37778
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,11,445354,-812617,40,20.6,2018-09-11 21:16:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.89833,-81.43806
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,12,444425,-820324,38,134.62,2018-09-12 00:30:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,44.74028,-82.05667
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,13,450106,-815835,43,173.44,2018-09-12 03:39:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.01833,-81.97639
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,14,450459,-813213,41,21.37,2018-09-12 05:44:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.08306,-81.53694
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,15,451315,-814914,42,43.58,2018-09-12 07:39:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.22083,-81.82056
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,15,451315,-814914,42,43.58,2018-09-12 07:39:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.22083,-81.82056
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,16,451644,-822704,48,110.28,2018-09-12 10:54:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.27889,-82.45111
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,17,453209,-820244,50,26.19,2018-09-12 13:40:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.53583,-82.04556
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,18,453904,-823850,52,65.02,2018-09-12 17:13:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.65111,-82.64722
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,19,454559,-830141,59,17.98,2018-09-12 19:44:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.76639,-83.02806
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,20,455200,-831558,58,12.75,2018-09-12 21:24:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.86667,-83.26611
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,20,455200,-831558,58,12.75,2018-09-12 21:24:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.86667,-83.26611
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,21,455404,-833110,60,24.14,2018-09-12 23:15:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.90111,-83.51944
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,22,455959,-832600,76,58.38,2018-09-13 00:29:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.99972,-83.43333
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,23,455814,-831157,77,77.89,2018-09-13 01:46:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.97056,-83.19917
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,24,455612,-824534,82,28.12,2018-09-13 04:52:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.93667,-82.75944
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,25,455959,-823301,83,31.13,2018-09-13 06:16:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.99972,-82.55028
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,25,455959,-823301,83,31.13,2018-09-13 06:16:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.99972,-82.55028
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,26,460340,-821149,87,43.68,2018-09-13 08:08:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,46.06111,-82.19694
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,27,460319,-820000,88,35.75,2018-09-13 09:21:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,46.05528,-82.00000
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,28,455459,-820940,89,38.74,2018-09-13 11:07:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,45.91639,-82.16111
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,29,460630,-825048,84,35.65,2018-09-13 15:44:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,46.10833,-82.84667
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,29,460630,-825048,84,35.65,2018-09-13 15:44:00,6,12.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,46.10833,-82.84667
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,29,460630,-825048,84,35.65,2018-09-13 15:44:00,6,14.00,.00,,,0,2.000000,TPL,TEMPERATURE PROFILE LOCATION,,46.10833,-82.84667
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,29,460630,-825048,84,35.65,2018-09-13 15:44:00,6,16.00,.00,,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,46.10833,-82.84667
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,29,460630,-825048,84,35.65,2018-09-13 15:44:00,6,34.00,.00,,,0,3.000000,TPL,TEMPERATURE PROFILE LOCATION,,46.10833,-82.84667
201802002,2019-02-19 21:09:31,CCGS LIMNOS,LAKE HURON,30,460722,-825305,79,25.79,2018-09-13 15:58:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,46.12278,-82.88472
