CRUISE_PLAN,LAST_DATE_UPDATED,SHIP_NAME,WATER_BODY,CSN,LATITUDE,LONGITUDE,PSN,SOUNDING,STN_DATE,CODE,DEPTH_FROM,DEPTH_TO,DETECTION,FLAG,SEQ_NO,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,30,.00,.00,,,0,8.000000,SECCHI,SECCHI DISC DEPTH,METRE,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,100,.00,.00,,,0,7.000000,TEMP,TEMPERATURE (OF WATER),DEG C,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,124,1.00,.00,,,0,86.000000,TRANS,TRANSPARENCY,PERCENT,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,160,1.00,.00,,,0,284.600000,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,213,1.00,.00,,,0,8.540000,PH,PH,PH UNITS,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,225,.00,18.00,0.00030000,,0,.665000,I-POC,"CARBON,PARTICULATE ORGANIC,INTEGRATED",MG C/L,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,245,1.00,.00,,,0,11.930000,D 02 W,"OXYGEN,CONCENTRATION DISSOLVED",MG 02/L,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,263,1.00,.00,0.00020000,,0,.001600,SR P,"PHOSPHOROUS,SOLUBLE REACTIVE,FILTERED",MG P/L,42.81750,-79.38278
201601001,2018-05-15 10:29:00,CCGS LIMNOS,LAKE ERIE,1,424903,-792258,727,20.32,2016-05-09 17:50:00,265,1.00,.00,0.01400000,,0,.206000,TF KJN,"TOTAL KJELDAHL NITROGEN,FILTERED",MG N/L,42.81750,-79.38278
