CRUISE_PLAN,LAST_DATE_UPDATED,SHIP_NAME,WATER_BODY,CSN,LATITUDE,LONGITUDE,PSN,SOUNDING,STN_DATE,CODE,DEPTH_FROM,DEPTH_TO,DETECTION,FLAG,SEQ_NO,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,6,.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,100,.00,.00,,,1,11.500000,TEMP,TEMPERATURE (OF WATER),DEG C,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,104,1.00,.00,,,1,13.230000,T EBT,TEMPERATURE EBT,DEG C,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,124,1.00,.00,,,1,88.000000,TRANS,TRANSPARENCY,PERCENT,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,160,1.00,.00,,,1,301.400000,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,213,1.00,.00,,,1,8.340000,PH,PH,PH UNITS,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,245,1.00,.00,,,1,10.870000,D 02 W,"OXYGEN,CONCENTRATION DISSOLVED",MG 02/L,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,1,424726,-794519,1356,17.78,2022-05-16 19:09:00,247,1.00,.00,,,1,105.640000,SAT 02,"OXYGEN,% SAT. DISSOLVED",PERCENT,42.79056,-79.75528
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,6,.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,30,.00,.00,,,1,5.000000,SECCHI,SECCHI DISC DEPTH,METRE,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,100,.00,.00,,,1,10.000000,TEMP,TEMPERATURE (OF WATER),DEG C,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,104,1.00,.00,,,1,9.940000,T EBT,TEMPERATURE EBT,DEG C,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,124,1.00,.00,,,1,80.000000,TRANS,TRANSPARENCY,PERCENT,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,160,1.00,.00,,,1,273.300000,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,213,1.00,.00,,,1,8.520000,PH,PH,PH UNITS,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,245,1.00,.00,,,1,11.310000,D 02 W,"OXYGEN,CONCENTRATION DISSOLVED",MG 02/L,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,2,423506,-795452,452,51.6,2022-05-16 22:02:00,247,1.00,.00,,,1,101.910000,SAT 02,"OXYGEN,% SAT. DISSOLVED",PERCENT,42.58500,-79.91444
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,5,12.10,.00,,,0,200.000000,VOLUME,SAMPLE VOLUME COLLECTED,LITRES,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,6,.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,6,1.00,.00,,,1,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,100,.00,.00,,,1,6.500000,TEMP,TEMPERATURE (OF WATER),DEG C,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,104,1.00,.00,,,1,6.720000,T EBT,TEMPERATURE EBT,DEG C,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,124,1.00,.00,,,1,84.000000,TRANS,TRANSPARENCY,PERCENT,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,160,1.00,.00,,,1,276.000000,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,213,1.00,.00,,,1,8.520000,PH,PH,PH UNITS,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,245,1.00,.00,,,1,11.900000,D 02 W,"OXYGEN,CONCENTRATION DISSOLVED",MG 02/L,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,247,1.00,.00,,,1,99.050000,SAT 02,"OXYGEN,% SAT. DISSOLVED",PERCENT,42.50667,-79.89944
202201001,2023-03-30 16:06:00,CCGS LIMNOS,LAKE ERIE,3,423024,-795358,879,60.68,2022-05-18 05:08:00,448,1.00,.00,,,0,.500000,NF RES,"RESIDUE,NON-FILTERED",MG/L,42.50667,-79.89944
