CRUISE_PLAN,LAST_DATE_UPDATED,SHIP_NAME,WATER_BODY,CSN,LATITUDE,LONGITUDE,PSN,SOUNDING,STN_DATE,CODE,DEPTH_FROM,DEPTH_TO,DETECTION,FLAG,SEQ_NO,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,6,6.50,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,30,.00,.00,,,0,4.500000,SECCHI,SECCHI DISC DEPTH,METRE,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,100,.00,.00,,,0,23.000000,TEMP,TEMPERATURE (OF WATER),DEG C,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,104,1.00,.00,,,0,23.080000,T EBT,TEMPERATURE EBT,DEG C,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,104,6.50,.00,,,0,22.650000,T EBT,TEMPERATURE EBT,DEG C,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,124,1.00,.00,,,0,84.000000,TRANS,TRANSPARENCY,PERCENT,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,160,1.00,.00,,,0,270.800000,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,160,6.50,.00,,,0,270.100000,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,42.84972,-78.94139
202101001,2022-03-01 11:35:00,CCGS LIMNOS,LAKE ERIE,1,425059,-785629,931,8.58,2021-09-07 18:26:00,213,1.00,.00,,,0,8.440000,PH,PH,PH UNITS,42.84972,-78.94139
