CRUISE_PLAN,LAST_DATE_UPDATED,SHIP_NAME,WATER_BODY,CSN,LATITUDE,LONGITUDE,PSN,SOUNDING,STN_DATE,CODE,DEPTH_FROM,DEPTH_TO,DETECTION,FLAG,SEQ_NO,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,6,1.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,6,7.00,.00,,,0,1.000000,TPL,TEMPERATURE PROFILE LOCATION,,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,100,.00,.00,,,0,7.800000,TEMP,TEMPERATURE (OF WATER),DEG C,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,104,1.00,.00,,,0,7.820000,T EBT,TEMPERATURE EBT,DEG C,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,104,7.00,.00,,,0,7.800000,T EBT,TEMPERATURE EBT,DEG C,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,124,1.00,.00,,,0,80.000000,TRANS,TRANSPARENCY,PERCENT,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,160,1.00,.00,,,0,278.300000,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,160,7.00,.00,,,0,278.900000,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,213,1.00,.00,,,0,8.430000,PH,PH,PH UNITS,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,213,7.00,.00,,,0,8.530000,PH,PH,PH UNITS,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,225,.00,7.00,0.00200000,,0,.443000,I-POC,"CARBON,PARTICULATE ORGANIC,INTEGRATED",MG C/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,226,1.00,.00,0.10000000,,0,2.200000,D ORG C,"CARBON,DISSOLVED ORGANIC",MG C/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,236,1.00,.00,0.20000000,,0,21.800000,D.I.C,DISSOLVED INORGANIC CARBON,MG C/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,245,1.00,.00,,,0,10.790000,D 02 W,"OXYGEN,CONCENTRATION DISSOLVED",MG 02/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,245,7.00,.00,,,0,10.780000,D 02 W,"OXYGEN,CONCENTRATION DISSOLVED",MG 02/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,247,1.00,.00,,,0,92.330000,SAT 02,"OXYGEN,% SAT. DISSOLVED",PERCENT,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,247,7.00,.00,,,0,92.200000,SAT 02,"OXYGEN,% SAT. DISSOLVED",PERCENT,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,263,1.00,.00,0.00020000,,0,.000900,SR P,"PHOSPHOROUS,SOLUBLE REACTIVE,FILTERED",MG P/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,263,7.00,.00,0.00020000,,0,.000800,SR P,"PHOSPHOROUS,SOLUBLE REACTIVE,FILTERED",MG P/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,265,1.00,.00,0.01400000,,0,.216000,TF KJN,"TOTAL KJELDAHL NITROGEN,FILTERED",MG N/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,265,7.00,.00,0.01400000,,0,.225000,TF KJN,"TOTAL KJELDAHL NITROGEN,FILTERED",MG N/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,267,.00,7.00,0.00070000,,0,.053000,I-N,"NITROGEN,TOTAL PARTICULATE - INTEGRATED",MG N/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,270,1.00,.00,0.00100000,,0,.010000,NH3,"AMMONIA NITROGEN,SOLUBLE",MG N/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,270,7.00,.00,0.00100000,,0,.010000,NH3,"AMMONIA NITROGEN,SOLUBLE",MG N/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,276,1.00,.00,0.00500000,,0,.292000,NO3NO2 F,"NITRATE+NITRITE NITROGEN,FILTERED",MG N/L,42.84944,-78.94083
201701002,2018-02-22 16:36:00,CCGS LIMNOS,LAKE ERIE,1,425058,-785627,931,9.15,2017-05-08 17:16:00,276,7.00,.00,0.00500000,,0,.292000,NO3NO2 F,"NITRATE+NITRITE NITROGEN,FILTERED",MG N/L,42.84944,-78.94083
