WATER_BODY,PSN,STN_DATE,YEAR,SEASON,PARAMETER_CLASS,CODE,ABBREV,FULL_NAME,VALUE_REPORTED,UNITS_REPORTED,VALUE_MG_L,FLAG,DETECTION,DEPTH_FROM,DEPTH_TO,LATITUDE_DD,LONGITUDE_DD
GEORGIAN BAY,26,2000-05-07 23:27:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001400,MG P/L,0.0014,,0.00020000,1.00,.00,45.83250,-80.90139
GEORGIAN BAY,26,2000-05-07 23:27:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.000300,MG P/L,0.0003,,0.00020000,999.00,.00,45.83250,-80.90139
GEORGIAN BAY,27,2000-05-07 22:28:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.004000,MG P/L,0.004,,0.00020000,1.00,.00,45.86611,-81.00028
GEORGIAN BAY,27,2000-05-07 22:28:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001900,MG P/L,0.0019,,0.00020000,1.00,.00,45.86611,-81.00028
GEORGIAN BAY,29,2000-05-08 02:24:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003800,MG P/L,0.0038,,0.00020000,1.00,.00,45.58306,-81.08306
GEORGIAN BAY,29,2000-05-08 02:24:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001700,MG P/L,0.0017,,0.00020000,1.00,.00,45.58306,-81.08306
GEORGIAN BAY,3,2000-05-08 16:53:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.001800,MG P/L,0.0018,,0.00020000,1.00,.00,44.72417,-80.59611
GEORGIAN BAY,3,2000-05-08 16:53:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.001900,MG P/L,0.0019,,0.00020000,1.00,.00,44.72417,-80.59611
GEORGIAN BAY,3,2000-05-08 16:53:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.000200,MG P/L,0.0002,<,0.00020000,998.00,.00,44.72417,-80.59611
GEORGIAN BAY,3,2000-05-08 16:53:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.000200,MG P/L,0.0002,<,0.00020000,999.00,.00,44.72417,-80.59611
